scrap_id,folder,scrap_area_in2,isosceles_triangles,isosceles_recovery_pct,306090_triangles,306090_recovery_pct,equilateral_triangles,equilateral_recovery_pct
oren_scrap3_Polygon-2,oren,4.44,4,45.02,4,45.02,3,33.76
oren_scrap3_Polygon-4,oren,2.42,0,0.00,2,41.33,0,0.00
oren_scrap3_Polygon-12,oren,30.60,39,63.73,49,80.07,47,76.80
oren_scrap3_Polygon-5,oren,2.62,0,0.00,3,57.27,0,0.00
oren_scrap3_Polygon-19,oren,5.16,5,48.45,6,58.14,3,29.07
oren_scrap3_Polygon-17,oren,9.10,13,71.41,13,71.41,10,54.93
oren_scrap3_Polygon-16,oren,7.63,9,58.99,7,45.88,8,52.44
oren_scrap3_Polygon-14,oren,7.58,12,79.15,9,59.36,9,59.36
oren_scrap3_Polygon-20,oren,4.94,4,40.48,7,70.85,5,50.61
oren_scrap3_Polygon-6,oren,3.02,0,0.00,4,66.22,0,0.00
oren_scrap3_Polygon-15,oren,4.71,5,53.04,5,53.04,5,53.04
oren_scrap3_Polygon-10,oren,0.81,0,0.00,0,0.00,0,0.00
oren_scrap3_Polygon-7,oren,10.53,12,56.96,14,66.45,12,56.96
oren_scrap3_Polygon-9,oren,0.96,0,0.00,0,0.00,0,0.00
oren_scrap3_Polygon-3,oren,6.94,9,64.84,8,57.63,9,64.84
oren_scrap3_Polygon-11,oren,3.97,4,50.41,4,50.41,2,25.21
oren_scrap3_Polygon-8,oren,3.62,3,41.42,3,41.42,2,27.61
oren_scrap3_Polygon-13,oren,5.45,8,73.34,6,55.01,5,45.84
oren_scrap5_Polygon-3,oren,172.19,309,89.73,309,89.73,304,88.28
oren_scrap5_Polygon-2,oren,186.60,320,85.75,324,86.82,333,89.23
oren_scrap5_Polygon-4,oren,49.73,76,76.42,76,76.42,78,78.43
fabscrap_scraps7_Polygon-3,fabscrap,97.68,167,85.48,175,89.58,168,85.99
fabscrap_scraps7_Polygon-4,fabscrap,31.46,50,79.47,56,89.00,54,85.82
